자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수
28,27,1,0,0
0,0,0,0,0
36,35,1,0,0
45,45,0,0,0
6835,6655,180,0,0
0,0,0,0,0
103,101,2,0,0
62,61,1,0,0
1410,1356,31,23,0
7,6,1,0,0
170,169,1,0,0
51355,49244,2111,0,0
2947,2813,134,1242,0
0,0,0,0,0
5,5,0,0,0
149,149,0,0,0
1773,1680,93,0,0
29,25,4,0,0
14,14,0,0,0
55,55,0,0,0
127601,122934,2914,1753,0
126,126,2,0,0
