name,car_count
지엠물류,362
지엠물류,0
누리렌트카,59
누리렌트카,0
대경렌트카,62
대원렌트카,5
대전렌트카,153
대전렌트카,0
둔산렌트카,68
둔산렌트카,0
리렌트카,38
블루스카이,91
블루스카이,0
비엘렌트카,165
비엘렌트카,0
베스트렌트카,9
오산렌터카,88
에이제이렌터카,6
굿초이스,0
에쓰렌트카,101
에쓰렌트카,0
나라렌터카,55
건아렌트카,10
엠케이렌트카,6
엠씨렌트카,50
태경렌트카,15
우성렌터카,12
SK,28
제이에스렌터카,60
찬누리렌트카,100
제이비우리캐피탈,31167
대한렌터카,78
세영렌트카,70
스마트렌터카,51
하이렌트카,93
참우리렌트카,119
투투렌트카,10
포유 유성지점,0
프린스렌트카,1
기아,91
선우렌트카,9
선우렌트카,0
아마존카,29
아이렌트카 대덕지점,12
아이렌트카 대덕지점,0
참신렌트카여행사,11
포유,58
SK,0
저스트렌트카,0
조은렌트카,6
지에스렌트카 서구지점,4
터미널렌트카,16
가인렌트카,0
디에이치렌트카,2
디에이치렌트카,0
레드캡투어,51
마스타자동차관리,3
마춤카,2
삼성렌트카,9
삼성렌트카,0
쏘카,357
아이렌트카 유성지점,15
아이렌트카 유성지점,0
안전렌터카 유성지점,0
제트카,33
제트카,0
케이카,1
알앤에이,3
에이치케이렌터카,2
우등렌트카,10
이토이렌트카,3
하이렌터카 동구지점,3
기풍렌트카,1
하이렌터카 중구지점,7
가가렌트카,11
넘버원렌트카,2
롯데렌탈,516
롯데렌탈,0
센트럴렌트카,6
스마트렌트카,1
이렌트카,14
이렌트카,0
SK,129
오케이렌트카,32
한진렌트카,54
현대렌트카,18
명가렌트카,33
경일알씨,8
기풍렌트카,8
기풍렌트카,4
기풍렌트카,2
기풍렌트카,3
기풍렌트카,6
하나렌트카,164
모모렌트카,51
천지렌트카,0
독도렌트카,103
울릉도공항렌트카,58
콜렌트카,35
천지렌트카,151
우일렌트카,76
타고,9
금성,353
제너스렌트카,55
광명렌트카,155
대한렌트카,325
한국렌트카,60
피엘아이지렌트카,66
부산렌트카,99
국민카,76
길렌트카,50
유카,134
두리렌트카,79
가렌트카,81
삼천리렌트카,375
가자렌트카,59
삼성렌트카,416
세명SM렌트카,81
예스굿모닝,228
오토렌터카 구미지점,13
국제렌터카,2
드림관광렌트카,53
대한렌트카 홍천제2영업소,20
주성렌트카 홍천영업소,13
SK,36
쏘카,7
영일산업렌트카 홍천영업소,5
웨이 시흥정왕영업소,5
웨이 하남시청영업소,4
웨이 대전만년영업소,1
웨이 동탄중앙영업소,1
웨이 인천송도영업소,1
웨이 경기광주경안영업소,1
웨이 남양주중앙영업소,0
웨이 거제영업소,2
씨엘씨,20
